src	dst	time
376989	50329	0
376989	13813	11
453850	8	27
99258	50329	82
75083	84647	551
325821	8	960
104321	238279	1613
408376	8	1621
247125	463	2081
224480	93318	2152
47619	8	2465
134554	33946	2687
206362	64911	2933
331967	331965	3610
383669	54200	3631
197097	519	4030
416098	3604	4161
318838	302130	5320
446328	5411	5366
75470	4665	5410
50295	50218	5495
38819	33833	5555
38819	50218	5584
130621	3024	5635
247674	519	5712
114351	2687	5861
195886	8	5909
50222	33833	5915
46996	33833	6537
34790	120250	6725
207707	13812	7066
162386	69340	7138
445899	519	7390
250401	59343	7598
432622	59343	7671
82732	3209	7766
147510	59343	7976
6669	9192	8110
294403	59343	8177
3066	9192	8195
199121	9192	8296
175283	59343	8450
190062	59343	8509
33463	8	8603
54873	25115	8675
146847	8	8681
38517	193315	8978
47517	7117	9276
121932	7117	9287
6645	73370	9491
87074	7117	9776
9231	3024	9777
107640	131873	9911
97154	7117	9912
364376	184615	10063
10367	170707	10189
281951	170862	10399
93337	9192	10646
357642	519	10698
296524	8	11195
93252	6682	11386
6672	73370	11462
133111	133104	11572
175719	133104	11574
271995	73370	11642
6701	93314	11671
369148	59343	11787
152027	8	11829
47499	196130	12276
183325	7216	12349
296119	296120	12514
6658	130621	12683
137652	3604	12705
64998	30225	13040
109391	130621	13321
28962	11597	13552
93274	133437	13752
6701	133437	13775
207707	13812	13790
176488	13813	13831
265559	42178	13924
93308	73367	14440
229083	13627	14441
228311	285914	14723
52936	42178	14765
52936	42178	14770
195059	130621	14835
5444	43367	15007
143912	9192	15043
285913	285914	15353
165791	130621	15424
202480	381222	15620
86180	23440	15740
391175	13813	16039
6701	133435	16072
170101	170103	16091
93317	133435	16216
279985	3604	16497
317429	3604	16828
93321	133435	16948
404330	13813	17526
319037	354622	17697
374703	354622	17700
454931	354622	17705
431833	354622	17710
431834	354622	17712
445734	354622	17718
132857	64911	18165
101238	35376	18468
77058	8	18527
351608	95871	18573
180058	88	19399
127808	6677	19654
103447	64911	19683
6708	6640	19733
101109	35376	19886
16801	8	19983
436094	122456	20058
247581	12510	20453
42179	42178	20475
42179	42178	20480
42180	64911	20663
42180	42178	20683
42180	42178	20692
414901	519	20806
67517	67503	20808
65919	67503	20830
414901	62542	21016
222663	22849	21031
28866	67503	21064
96537	42178	21465
96537	42178	21477
130712	1988	21769
53967	3604	21777
209611	39422	21789
153566	519	21847
6677	73370	22109
93336	131506	22541
44726	216483	22602
240985	119429	22979
454953	1852	23039
381704	8	23457
144996	519	23516
6692	73370	23566
297225	73973	23950
425343	3604	23971
343700	88846	24385
413591	47756	24657
170952	170707	24673
139593	139598	24781
124454	12510	24788
9208	7117	25166
122529	42831	25380
379331	8161	25471
451768	1988	25490
95728	173141	25581
206392	42831	25666
212156	7117	25717
67371	3604	25753
89807	3604	25804
109527	88695	25915
368677	519	26118
344200	9851	26135
192414	50512	26483
351018	35376	26502
13123	13808	26640
232850	74583	27164
243882	61107	27418
109527	13808	27497
232850	104567	27602
47498	151486	27705
47519	7117	27841
405101	3604	28159
50910	553	28828
